date,department,hymn_type,hymn_number,hymn_topic,role,person
2024-12-14,幼稚班,幼稚班,100.0,Jesus turns water into wine,,
2024-12-28,幼稚班,,,,,
2024-12-28,少年班,,,,,
2025-01-04,幼稚班,,,,,
2025-01-04,幼年班,,,,,
2025-01-04,幼年班,,,,,
2025-01-11,幼稚班,,,,,
2025-01-11,少年班,,,,,
2025-01-18,幼稚班,,,,,
2025-01-18,幼年班,,,,,
2025-01-18,幼年班,,,,,
2025-01-25,幼稚班,,,,,
2025-01-25,少年班,,,,,
2025-02-01,幼稚班,,,,,
2025-02-01,幼年班,,,,,
2025-02-01,幼年班,,,,,
2025-02-08,幼稚班,,,,,
2025-02-08,少年班,,,,,
2025-02-15,幼稚班,,,,,
2025-02-15,幼年班,,,,,
2025-02-15,幼年班,,,,,
2025-02-22,幼稚班,,,,,
2025-02-22,少年班,,,,,
2025-03-01,幼稚班,,,,,
2025-03-01,幼年班,,,,,
2025-03-01,幼年班,,,,,
2025-03-08,幼稚班,,,,,
2025-03-08,少年班,,,,,
2025-03-15,幼稚班,,,,,
2025-03-15,幼年班,,,,,
2025-03-15,幼年班,,,,,
